HNL,21.324512,-157.92508,US,Pacific/Honolulu,-36000,0,No DST
IAD,38.953117,-77.456535,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
IAH,29.99022,-95.336784,US,America/Chicago,-18000,1,2022-03-13 08:00:00,2022-11-06 07:00:00
KBP,50.338223,30.893927,UA,Europe/Kiev,7200,0,2022-03-27 01:00:00,2022-10-30 01:00:00
KCH,1.4868501,110.341736,MY,Asia/Kuching,28800,0,No DST
KHH,22.574629,120.34481,TW,Asia/Taipei,28800,0,No DST
LIS,38.775593,-9.135366,PT,Europe/Lisbon,0,0,2022-03-27 01:00:00,2022-10-30 01:00:00
GRZ,46.994045,15.440131,AT,Europe/Vienna,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
ICN,37.46019,126.4407,KR,Asia/Seoul,32400,0,No DST
ICT,37.650852,-97.428696,US,America/Chicago,-18000,1,2022-03-13 08:00:00,2022-11-06 07:00:00
IND,39.716858,-86.29559,US,America/Indiana/Indianapolis,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
ITM,34.79074,135.4416,JP,Asia/Tokyo,32400,0,No DST
JAN,32.31223,-90.07642,US,America/Chicago,-18000,1,2022-03-13 08:00:00,2022-11-06 07:00:00
JAX,30.494072,-81.687935,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
JFK,40.64131,-73.77814,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
JHB,1.6367702,103.669556,MY,Asia/Kuala_Lumpur,28800,0,No DST
JNB,-26.136673,28.241146,ZA,Africa/Johannesburg,7200,0,No DST
KIX,34.432003,135.2304,JP,Asia/Tokyo,32400,0,No DST
KMG,25.09586,102.928505,CN,Asia/Shanghai,28800,0,No DST
KNO,3.6338253,98.877304,ID,Asia/Jakarta,25200,0,No DST
KRK,50.076977,19.788118,PL,Europe/Warsaw,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
KSC,48.672905,21.237444,SK,Europe/Bratislava,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
KTM,27.69809,85.35922,NP,Asia/Kathmandu,20700,0,No DST
KUL,2.7343836,101.70541,MY,Asia/Kuala_Lumpur,28800,0,No DST
IQQ,-20.536407,-70.18052,CL,America/Santiago,-10800,1,2022-04-03 03:00:00,2022-09-04 04:00:00
LAX,33.94159,-118.40853,US,America/Los_Angeles,-25200,1,2022-03-13 10:00:00,2022-11-06 09:00:00
LBA,53.867943,-1.6615306,GB,Europe/London,0,0,2022-03-27 01:00:00,2022-10-30 01:00:00
LCY,51.504845,0.049518,GB,Europe/London,0,0,2022-03-27 01:00:00,2022-10-30 01:00:00
